,date,open,close,high,low,volume,code
74,2010-04-26,7.75,7.974,8.131,7.729,276796.2,600660
75,2010-04-27,7.974,7.791,7.981,7.655,187360.07,600660
76,2010-04-28,7.709,7.668,7.784,7.614,116265.11,600660
77,2010-04-29,7.743,7.559,7.872,7.552,139753.4,600660
78,2010-04-30,7.559,7.634,7.655,7.43,183008.55,600660
79,2010-05-04,7.518,7.389,7.593,7.382,114278.76,600660
80,2010-05-05,7.362,7.226,7.362,6.906,284119.16,600660
81,2010-05-06,7.199,6.79,7.199,6.784,218008.34,600660
82,2010-05-07,6.566,6.484,6.722,6.457,208489.68,600660
83,2010-05-10,6.403,6.668,6.77,6.403,294656.42,600660
84,2010-05-11,6.858,6.491,6.879,6.409,202618.8,600660
85,2010-05-12,6.396,6.505,6.539,6.26,197403.65,600660
86,2010-05-13,6.498,6.79,6.811,6.464,212183.59,600660
87,2010-05-14,6.736,6.675,6.804,6.634,116847.81,600660
88,2010-05-17,6.593,6.171,6.593,6.164,165690.37,600660
89,2010-05-18,6.185,6.382,6.443,6.083,165964.69,600660
90,2010-05-19,6.307,6.484,6.614,6.307,211564.97,600660
91,2010-05-20,6.437,6.457,6.675,6.403,151004.24,600660
92,2010-05-21,6.301,6.545,6.573,6.198,133438.16,600660
93,2010-05-24,6.614,6.818,6.858,6.614,213011.97,600660
94,2010-05-25,6.804,6.675,6.804,6.58,151262.74,600660
95,2010-05-26,6.654,6.593,6.716,6.518,136628.71,600660
96,2010-05-27,6.559,6.682,6.695,6.362,189679.74,600660
97,2010-05-28,6.756,6.545,6.756,6.457,199522.35,600660
98,2010-05-31,6.484,6.321,6.518,6.314,117285.83,600660
99,2010-06-01,6.307,6.212,6.362,6.158,121068.77,600660
100,2010-06-02,6.192,6.314,6.321,6.137,84844.26,600660
101,2010-06-03,6.328,6.198,6.369,6.192,89135.39,600660
102,2010-06-04,6.151,6.212,6.226,6.137,70737.81,600660
103,2010-06-07,6.11,5.981,6.151,5.933,183178.55,600660
104,2010-06-08,5.994,6.069,6.069,5.892,136514.85,600660
105,2010-06-09,6.069,6.198,6.198,5.926,179855.35,600660
106,2010-06-10,6.124,6.124,6.198,6.076,157135.34,600660
107,2010-06-11,6.151,6.076,6.185,6.042,128345.45,600660
108,2010-06-17,6.124,5.954,6.151,5.947,121009.31,600660
109,2010-06-18,5.954,5.783,5.994,5.756,138698.69,600660
110,2010-06-21,5.797,6.069,6.103,5.763,201348.26,600660
111,2010-06-22,6.056,6.178,6.239,6.015,187556.67,600660
112,2010-06-23,6.103,6.124,6.198,5.974,175117.99,600660
113,2010-06-24,6.11,6.144,6.164,6.035,94326.06,600660
114,2010-06-25,6.103,6.178,6.219,6.062,113102.92,600660
115,2010-06-28,6.171,6.13,6.178,6.083,90946.54,600660
116,2010-06-29,6.158,5.967,6.246,5.94,254675.28,600660
117,2010-06-30,5.92,6.056,6.083,5.824,168756.19,600660
118,2010-07-01,6.035,5.824,6.083,5.777,178244.52,600660
119,2010-07-02,5.797,5.709,5.865,5.525,134559.62,600660
120,2010-07-05,5.586,5.702,5.743,5.545,70085.78,600660
121,2010-07-06,5.647,5.858,5.872,5.641,118265.74,600660
122,2010-07-07,5.906,6.416,6.443,5.865,440163.16,600660
123,2010-07-08,6.328,6.307,6.403,6.178,353052.87,600660
124,2010-07-09,6.294,6.423,6.539,6.246,344504.95,600660
125,2010-07-12,6.471,6.498,6.634,6.443,348215.0,600660
126,2010-07-13,6.45,6.389,6.484,6.301,187741.2,600660
127,2010-07-14,6.43,6.484,6.702,6.396,253591.7,600660
128,2010-07-15,6.464,6.43,6.593,6.403,177226.33,600660
129,2010-07-16,6.375,6.484,6.511,6.226,189742.78,600660
130,2010-07-19,6.348,6.865,6.879,6.328,403099.99,600660
131,2010-07-20,6.824,6.974,7.069,6.818,420993.21,600660
132,2010-07-21,6.988,7.008,7.11,6.879,332615.09,600660
133,2010-07-22,6.94,7.029,7.09,6.886,207667.26,600660
134,2010-07-23,7.015,6.988,7.09,6.94,169914.92,600660
135,2010-07-26,7.029,6.94,7.029,6.838,173709.17,600660
136,2010-07-27,6.892,7.001,7.144,6.804,257739.43,600660
137,2010-07-28,6.995,7.192,7.246,6.954,274356.44,600660
138,2010-07-29,7.199,7.151,7.26,7.069,281521.96,600660
139,2010-07-30,7.158,7.144,7.178,7.035,170943.92,600660
140,2010-08-02,7.144,7.308,7.389,7.09,278637.17,600660
141,2010-08-03,7.28,7.199,7.444,7.185,211585.6,600660
142,2010-08-04,7.151,7.226,7.246,7.035,185053.34,600660
143,2010-08-05,7.233,7.444,7.546,7.185,310591.11,600660
144,2010-08-06,7.45,7.559,7.6,7.376,223041.97,600660
145,2010-08-09,7.573,7.709,7.784,7.573,230906.0,600660
146,2010-08-10,7.763,7.376,7.825,7.362,272981.13,600660
147,2010-08-11,7.328,7.6,7.627,7.301,195481.69,600660
148,2010-08-12,7.525,7.321,7.593,7.267,220903.63,600660
149,2010-08-13,7.274,7.41,7.45,7.178,148672.48,600660
150,2010-08-16,7.369,7.621,7.743,7.321,219531.86,600660
151,2010-08-17,7.661,7.723,7.947,7.661,347523.55,600660
152,2010-08-18,7.743,7.886,8.008,7.675,261027.92,600660
153,2010-08-19,7.886,7.804,8.002,7.763,187839.77,600660
154,2010-08-20,7.791,7.546,7.852,7.457,208634.78,600660
155,2010-08-23,7.546,7.505,7.6,7.444,126676.02,600660
156,2010-08-24,7.505,7.586,7.716,7.457,135532.04,600660
157,2010-08-25,7.552,7.267,7.573,7.239,189953.65,600660
158,2010-08-26,7.253,7.267,7.382,7.178,126959.0,600660
159,2010-08-27,7.28,7.335,7.362,7.205,121977.0,600660
160,2010-08-30,7.376,7.546,7.655,7.376,251316.0,600660
161,2010-08-31,7.518,7.552,7.593,7.444,143747.0,600660
162,2010-09-01,7.505,7.566,7.695,7.484,261750.0,600660
163,2010-09-02,7.689,7.995,8.097,7.675,502552.0,600660
164,2010-09-03,8.07,8.185,8.41,7.906,451884.0,600660
165,2010-09-06,8.178,8.124,8.294,8.015,172280.0,600660
166,2010-09-07,8.131,8.199,8.233,8.09,153882.0,600660
167,2010-09-08,8.199,8.219,8.253,7.968,134837.0,600660
168,2010-09-09,8.24,7.893,8.274,7.886,222534.0,600660
169,2010-09-10,7.838,7.825,7.954,7.593,155219.0,600660
170,2010-09-13,7.886,7.94,8.036,7.77,203098.0,600660
171,2010-09-14,7.988,8.151,8.199,7.947,299727.0,600660
172,2010-09-15,8.138,7.893,8.138,7.859,145218.0,600660
173,2010-09-16,7.825,7.6,7.92,7.518,174068.0,600660
174,2010-09-17,7.6,7.648,7.689,7.505,116777.0,600660
175,2010-09-20,7.648,7.539,7.648,7.342,125178.0,600660
176,2010-09-21,7.539,7.627,7.825,7.539,124564.0,600660
177,2010-09-27,7.661,7.974,8.002,7.621,212803.0,600660
178,2010-09-28,7.995,7.845,8.097,7.825,136327.0,600660
179,2010-09-29,7.845,7.865,8.042,7.811,144667.0,600660
180,2010-09-30,7.811,8.036,8.131,7.804,194532.0,600660
181,2010-10-08,8.151,8.172,8.233,8.063,219009.0,600660
182,2010-10-11,8.178,8.532,8.539,8.158,488627.0,600660
183,2010-10-12,8.546,8.682,8.757,8.403,393927.0,600660
184,2010-10-13,8.716,8.838,8.961,8.587,436284.0,600660
185,2010-10-14,8.94,8.519,8.975,8.505,346285.0,600660
186,2010-10-15,8.485,8.58,8.716,8.376,243879.0,600660
187,2010-10-18,8.593,8.151,8.607,8.104,304207.0,600660
188,2010-10-19,8.165,8.804,8.947,8.165,345853.0,600660
189,2010-10-20,8.641,9.07,9.213,8.587,413128.0,600660
190,2010-10-21,9.131,9.111,9.322,8.947,258901.0,600660
191,2010-10-22,9.097,9.151,9.253,8.886,201588.0,600660
192,2010-10-25,9.253,9.505,9.594,9.165,356972.0,600660
193,2010-10-26,9.58,9.315,9.628,9.185,276256.0,600660
194,2010-10-27,9.322,9.07,9.444,8.981,265041.0,600660
195,2010-10-28,9.049,9.015,9.151,8.832,231624.0,600660
196,2010-10-29,9.022,9.206,9.308,8.988,198333.0,600660
197,2010-11-01,9.24,9.308,9.417,9.111,243647.0,600660
198,2010-11-02,9.376,9.287,9.594,9.267,358504.0,600660
199,2010-11-03,9.301,8.988,9.301,8.913,279415.0,600660
200,2010-11-04,8.981,9.097,9.111,8.913,322722.0,600660
201,2010-11-05,9.165,8.975,9.185,8.845,539191.0,600660
202,2010-11-08,9.002,9.403,9.464,8.845,729845.0,600660
203,2010-11-09,9.369,9.308,9.41,9.131,377557.0,600660
204,2010-11-10,9.294,9.124,9.478,9.049,389936.0,600660
205,2010-11-11,9.049,9.029,9.26,8.947,391638.0,600660
206,2010-11-12,8.981,8.172,8.981,8.151,571726.0,600660
207,2010-11-15,8.246,8.328,8.362,8.029,430083.0,600660
208,2010-11-16,8.301,7.879,8.308,7.831,296075.0,600660
209,2010-11-17,7.757,7.586,8.002,7.525,223757.0,600660
210,2010-11-18,7.689,7.791,7.852,7.607,187834.0,600660
211,2010-11-19,7.859,7.865,7.893,7.484,228035.0,600660
212,2010-11-22,7.784,7.906,7.988,7.729,273805.0,600660
213,2010-11-23,7.865,7.634,7.865,7.552,171947.0,600660
214,2010-11-24,7.621,7.927,7.961,7.607,248053.0,600660
215,2010-11-25,7.974,8.036,8.131,7.906,263798.0,600660
216,2010-11-26,8.056,7.899,8.083,7.825,220741.0,600660
217,2010-11-29,7.879,7.886,7.893,7.689,147296.0,600660
218,2010-11-30,7.893,7.675,7.961,7.552,241181.0,600660
